Summary,Issue Type,Description,Labels
"EP-01: Infrastructure & Setup",Epic,"**Objectif:**
Mettre en place l'infrastructure de base du projet AutoStrike avec les trois composants principaux (Server Go, Agent Rust, Dashboard React) et la configuration DevOps complete.

**Scope:**
- Initialisation des 3 projets avec leur structure de repertoires
- Configuration de l'environnement de developpement (Docker, VS Code, IDE)
- Mise en place de la CI/CD (GitHub Actions)
- Configuration des linters et formatters (golangci-lint, clippy, eslint)
- Generation des certificats mTLS pour le developpement
- Scripts de build et de demarrage

**Architecture:**
```
autostrike/
├── server/          # Go 1.21+
│   ├── cmd/
│   ├── internal/
│   ├── go.mod
│   └── Makefile
├── agent/           # Rust 1.70+
│   ├── src/
│   ├── Cargo.toml
│   └── build.rs
├── dashboard/       # React 18+
│   ├── src/
│   ├── package.json
│   └── vite.config.ts
├── scripts/
│   └── generate-certs.sh
└── docker-compose.yml
```

**Livrables:**
- Repository Git structure avec les 3 projets
- docker-compose.yml fonctionnel pour dev
- Pipeline CI/CD avec build et tests
- Scripts de generation de certificats
- Documentation du setup local (README)

**Definition of Done:**
[ ] Les 3 projets compilent sans erreur
[ ] docker-compose up demarre tous les services
[ ] CI pipeline passe (build + lint)
[ ] Certificats mTLS generes et fonctionnels
[ ] README avec instructions de setup",infrastructure
"EP-02: Backend - Architecture Hexagonale",Epic,"**Objectif:**
Implementer le Control Server en Go avec une architecture hexagonale propre, separant clairement le domaine metier des adaptateurs techniques.

**Scope:**
- Structure des packages selon l'architecture hexagonale
- Definition des entites du domaine (Agent, Scenario, Technique, Result)
- Implementation des ports (interfaces inbound et outbound)
- Implementation des services applicatifs (Use Cases)
- Configuration de Gin comme framework HTTP
- Injection de dependances dans main.go

**Architecture:**
```
server/internal/
├── domain/
│   ├── entity/
│   │   ├── agent.go
│   │   ├── scenario.go
│   │   ├── technique.go
│   │   └── result.go
│   ├── service/
│   │   ├── orchestrator.go
│   │   ├── validator.go
│   │   └── score_calculator.go
│   ├── repository/     # Interfaces (ports outbound)
│   │   ├── agent_repo.go
│   │   ├── scenario_repo.go
│   │   └── result_repo.go
│   └── valueobject/
│       ├── tactic.go
│       └── status.go
├── application/        # Use cases (ports inbound)
│   ├── scenario_service.go
│   ├── agent_service.go
│   └── result_service.go
└── infrastructure/     # Adapters
    ├── persistence/
    ├── communication/
    └── api/
```

**Livrables:**
- Entites du domaine completes avec methodes metier
- Interfaces de repository definies
- Services applicatifs avec logique metier
- Injection de dependances fonctionnelle
- Tests unitaires du domain layer (>80% coverage)

**Definition of Done:**
[ ] Architecture hexagonale respectee (pas de dependance domain -> infra)
[ ] Toutes les entites definies avec leurs methodes
[ ] Interfaces repository definies
[ ] Services applicatifs implementes
[ ] Tests unitaires domain layer >80%
[ ] Code passe golangci-lint sans erreur",backend
"EP-03: Agent Rust - Core",Epic,"**Objectif:**
Developper l'agent AutoStrike en Rust avec les fonctionnalites de base: beaconing, communication securisee mTLS, et execution de commandes.

**Scope:**
- Structure du projet Rust avec modules
- Client HTTP avec support mTLS (reqwest + rustls)
- Systeme de beaconing avec jitter
- Trait Executor et implementations (PowerShell, CMD, Bash)
- Gestion de la configuration (CLI args, env vars)
- Collecte des informations systeme (hostname, platform, username)

**Architecture:**
```
agent/src/
├── main.rs              # Point d'entree, boucle beacon
├── config.rs            # Configuration (server, sleep, jitter)
├── beacon/
│   ├── mod.rs
│   ├── client.rs        # Client HTTP/mTLS
│   └── protocol.rs      # Structures JSON request/response
├── executor/
│   ├── mod.rs
│   ├── traits.rs        # Trait Executor
│   ├── powershell.rs    # Windows PowerShell
│   ├── cmd.rs           # Windows CMD
│   └── bash.rs          # Linux/macOS Bash
└── utils/
    ├── mod.rs
    ├── system.rs        # Info systeme
    └── crypto.rs        # Helpers crypto
```

**Livrables:**
- Agent qui compile pour Windows x64
- Beaconing fonctionnel vers le serveur
- Execution de commandes PowerShell/CMD
- Communication mTLS securisee
- Binaire optimise (<5MB)

**Definition of Done:**
[ ] Agent compile pour Windows x64
[ ] Beacon toutes les N secondes avec jitter
[ ] Execute les commandes recues du serveur
[ ] Retourne les resultats (stdout, stderr, exit code)
[ ] Communication mTLS fonctionnelle
[ ] Binaire release <5MB
[ ] Tests unitaires executors",agent
"EP-04: Dashboard React - Core",Epic,"**Objectif:**
Developper le dashboard React avec les composants de base: layout, navigation, composants UI reutilisables et routing.

**Scope:**
- Setup Vite + React 18 + TypeScript
- Configuration TailwindCSS
- Layout principal (Sidebar, Header, Content area)
- Routing avec React Router v6
- Composants UI de base (Button, Card, Modal, Loading, Badge)
- Configuration Zustand pour le state management
- Service API avec Axios et interceptors

**Architecture:**
```
dashboard/src/
├── components/
│   ├── Layout/
│   │   ├── Layout.tsx
│   │   ├── Sidebar.tsx
│   │   └── Header.tsx
│   └── common/
│       ├── Button.tsx
│       ├── Card.tsx
│       ├── Modal.tsx
│       ├── Loading.tsx
│       └── Badge.tsx
├── pages/
│   ├── Dashboard.tsx
│   ├── Matrix.tsx
│   ├── Agents.tsx
│   ├── Scenarios.tsx
│   └── Reports.tsx
├── services/
│   └── api.ts
├── store/
│   └── index.ts
├── types/
│   └── index.ts
├── App.tsx
└── index.tsx
```

**Livrables:**
- Application React fonctionnelle avec navigation
- Layout responsive (desktop + tablet)
- Composants UI documentes et reutilisables
- Service API configure avec gestion d'erreurs
- Pages placeholder pour chaque route

**Definition of Done:**
[ ] Application demarre sans erreur (vite dev)
[ ] Navigation entre toutes les pages fonctionne
[ ] Layout responsive (>768px)
[ ] Composants common exportes et documentes
[ ] TypeScript strict mode sans erreur
[ ] ESLint passe sans warning",dashboard
"EP-05: Systeme d'Authentification",Epic,"**Objectif:**
Implementer un systeme d'authentification securise avec JWT pour le dashboard et preparer l'authentification mTLS pour les agents.

**Scope:**
- Endpoint login/logout sur le backend
- Generation et validation des tokens JWT
- Middleware d'authentification Gin
- Refresh token avec rotation
- Stockage securise des mots de passe (bcrypt)
- Page de login sur le dashboard
- Interceptor Axios pour les tokens
- Protection des routes React

**Architecture:**
```
Backend:
- POST /api/v1/auth/login       # Login, retourne access + refresh token
- POST /api/v1/auth/refresh     # Refresh token
- POST /api/v1/auth/logout      # Invalidation token
- Middleware AuthRequired()     # Verification JWT sur routes protegees

Frontend:
- AuthContext pour l'etat d'authentification
- ProtectedRoute component
- useAuth() hook
- Stockage tokens (httpOnly cookie ou localStorage)
```

**Livrables:**
- Endpoints d'authentification fonctionnels
- Middleware JWT sur les routes protegees
- Page de login sur le dashboard
- Redirection automatique si non authentifie
- Gestion expiration et refresh automatique

**Definition of Done:**
[ ] Login/logout fonctionnel
[ ] JWT avec expiration 15min
[ ] Refresh token avec expiration 7j
[ ] Middleware protege les routes API
[ ] Dashboard redirige vers login si non auth
[ ] Mots de passe hashes avec bcrypt
[ ] Tests d'integration auth",security
"EP-06: Communication Agent-Server",Epic,"**Objectif:**
Implementer le protocole de communication complet entre les agents et le serveur: beaconing, dispatch des taches, et recuperation des resultats.

**Scope:**
- Endpoint beacon sur le serveur (POST /api/v1/agents/{paw}/beacon)
- Logique d'enregistrement des nouveaux agents
- Mise a jour du statut agent (online/offline basé sur last_seen)
- File d'attente des taches par agent (pending_tasks)
- Dispatch des instructions dans la reponse beacon
- Reception et stockage des resultats d'execution
- Heartbeat et detection agents offline

**Architecture:**
```
Protocole Beacon:

Agent -> Server:
POST /api/v1/agents/{paw}/beacon
{
  ""paw"": ""agent-uuid"",
  ""hostname"": ""PC-001"",
  ""platform"": ""windows"",
  ""executors"": [""psh"", ""cmd""],
  ""results"": [...]
}

Server -> Agent:
{
  ""paw"": ""agent-uuid"",
  ""sleep"": 5,
  ""instructions"": [
    {
      ""id"": ""task-001"",
      ""technique_id"": ""T1082"",
      ""executor"": ""psh"",
      ""command"": ""systeminfo"",
      ""timeout"": 30
    }
  ]
}
```

**Livrables:**
- Endpoint beacon complet
- Enregistrement automatique des agents
- Detection des agents offline (>3 beacons manques)
- Dispatch des taches aux agents
- Stockage des resultats en base
- UI liste des agents avec statut temps reel

**Definition of Done:**
[ ] Agent s'enregistre au premier beacon
[ ] Taches dispatched dans la reponse beacon
[ ] Resultats recus et stockes
[ ] Statut agent mis a jour automatiquement
[ ] Agent marque offline apres 3 beacons manques
[ ] UI affiche liste agents avec statut
[ ] Tests integration protocole beacon",communication
"EP-07: Techniques MITRE - Discovery",Epic,"**Objectif:**
Implementer les techniques MITRE ATT&CK de la tactique Discovery, qui sont les plus simples et les plus sures pour commencer.

**Scope:**
- T1082: System Information Discovery
- T1083: File and Directory Discovery
- T1057: Process Discovery
- T1016: System Network Configuration Discovery
- T1069: Permission Groups Discovery
- T1087: Account Discovery

**Architecture:**
```
Fichiers YAML (configs/techniques/):
├── T1082.yaml    # systeminfo, Get-ComputerInfo
├── T1083.yaml    # dir, ls, Get-ChildItem
├── T1057.yaml    # tasklist, ps, Get-Process
├── T1016.yaml    # ipconfig, ifconfig, Get-NetAdapter
├── T1069.yaml    # net localgroup, groups
└── T1087.yaml    # net user, whoami, id

Agent Rust (src/techniques/discovery/):
├── mod.rs
├── t1082_system_info.rs
├── t1083_file_discovery.rs
├── t1057_process_discovery.rs
├── t1016_network_config.rs
├── t1069_permission_groups.rs
└── t1087_account_discovery.rs
```

**Livrables:**
- 6 fichiers YAML de definition des techniques
- Parser YAML dans le serveur
- Implementations Rust pour Windows et Linux
- Tests d'execution sur machines de test
- Documentation des commandes executees

**Definition of Done:**
[ ] 6 techniques implementees (YAML + Rust)
[ ] Executables sur Windows (psh, cmd)
[ ] Executables sur Linux (bash)
[ ] Resultats retournes correctement au serveur
[ ] Flag is_safe = true sur toutes
[ ] Tests manuels valides sur VM
[ ] Documentation des indicateurs de detection","techniques;discovery"
"EP-08: Techniques MITRE - Execution",Epic,"**Objectif:**
Implementer les techniques MITRE ATT&CK de la tactique Execution, permettant de valider les capacites d'execution de commandes et scripts.

**Scope:**
- T1059.001: PowerShell
- T1059.003: Windows Command Shell (cmd.exe)
- T1059.004: Unix Shell (bash/sh)

**Architecture:**
```
Fichiers YAML (configs/techniques/):
├── T1059.001.yaml   # PowerShell execution
├── T1059.003.yaml   # CMD execution
└── T1059.004.yaml   # Bash/Sh execution

Chaque technique teste:
- Execution basique de commandes
- Verification du mode d'execution (LanguageMode pour PSH)
- Encodage de commandes
- Execution de scripts inline

Exemple T1059.001.yaml:
executors:
  - type: psh
    command: |
      $ExecutionContext.SessionState.LanguageMode
      Get-Process | Select-Object -First 5
    timeout: 30
```

**Livrables:**
- 3 fichiers YAML de definition
- Tests de differents modes d'execution
- Detection des restrictions (Constrained Language Mode, etc.)
- Rapport du mode d'execution dans les resultats

**Definition of Done:**
[ ] T1059.001 (PowerShell) implemente et teste
[ ] T1059.003 (CMD) implemente et teste
[ ] T1059.004 (Unix Shell) implemente et teste
[ ] Detecte les restrictions d'execution
[ ] Output capture correctement (stdout/stderr)
[ ] Timeout respecte
[ ] Documentation des variations de commandes","techniques;execution"
"EP-09: Techniques MITRE - Persistence",Epic,"**Objectif:**
Implementer les techniques MITRE ATT&CK de la tactique Persistence, avec un mode safe qui cree puis supprime immediatement les artefacts.

**Scope:**
- T1053.005: Scheduled Task/Job (Windows Task Scheduler)
- T1547.001: Registry Run Keys / Startup Folder
- T1136.001: Create Local Account

**Architecture:**
```
Mode Safe Persistence:
1. Creer l'artefact (scheduled task, registry key, account)
2. Verifier que la creation a fonctionne
3. Supprimer immediatement l'artefact
4. Verifier que la suppression a fonctionne
5. Retourner le resultat (created + cleaned)

Exemple T1053.005.yaml:
executors:
  - type: psh
    command: |
      # Create task
      schtasks /create /tn ""AutoStrikeTest"" /tr ""calc.exe"" /sc daily /st 00:00
      # Verify
      schtasks /query /tn ""AutoStrikeTest""
    cleanup: |
      schtasks /delete /tn ""AutoStrikeTest"" /f
    timeout: 30
```

**Livrables:**
- 3 fichiers YAML avec commandes et cleanup
- Implementation du cleanup automatique dans l'agent
- Verification que les artefacts sont bien supprimes
- Rapport detaille (created, verified, cleaned)

**Definition of Done:**
[ ] T1053.005 (Scheduled Task) avec cleanup
[ ] T1547.001 (Registry Run Keys) avec cleanup
[ ] T1136.001 (Local Account) avec cleanup
[ ] Cleanup execute systematiquement apres le test
[ ] Verification post-cleanup dans le rapport
[ ] Tests sur VM Windows
[ ] Flag is_safe = true si cleanup garantit","techniques;persistence"
"EP-10: Techniques MITRE - Defense Evasion",Epic,"**Objectif:**
Implementer les techniques MITRE ATT&CK de la tactique Defense Evasion, permettant de tester les capacites de detection d'activites d'evasion.

**Scope:**
- T1070.004: Indicator Removal - File Deletion
- T1027: Obfuscated Files or Information

**Architecture:**
```
T1070.004 - File Deletion:
- Creer un fichier temporaire (safe)
- Supprimer le fichier
- Verifier la suppression
- Tester differentes methodes de suppression (del, Remove-Item, rm)

T1027 - Obfuscation:
- Encoder une commande en Base64
- Executer la commande encodee
- Tester la detection de l'encodage

Exemple T1070.004.yaml:
executors:
  - type: psh
    command: |
      # Create test file
      $path = ""$env:TEMP\autostrike_test.txt""
      ""test content"" | Out-File $path
      # Delete and verify
      Remove-Item $path -Force
      Test-Path $path  # Should return False
    timeout: 30
```

**Livrables:**
- 2 fichiers YAML de techniques
- Tests de differentes methodes de suppression
- Tests d'encodage Base64 (PowerShell -EncodedCommand)
- Rapport des methodes testees et resultats

**Definition of Done:**
[ ] T1070.004 (File Deletion) implemente
[ ] T1027 (Obfuscation) implemente avec Base64
[ ] Plusieurs variantes de commandes testees
[ ] Aucun fichier residuel apres execution
[ ] Documentation des indicateurs de detection
[ ] Tests sur VM Windows et Linux","techniques;defense-evasion"
